2026-07-29T07:39:38.673530+00:00 | TRADEWATCH | no open positions
2026-07-29T11:07:53.865224+00:00 | TRADEWATCH | no open positions
2026-07-29T11:08:25.639038+00:00 | TRADEWATCH | no open positions
2026-07-29T11:12:32.722213+00:00 | TRADEWATCH | no open positions
2026-07-29T11:12:55.086167+00:00 | TRADEWATCH | no open positions
2026-07-29T11:13:25.669866+00:00 | TRADEWATCH | no open positions
2026-07-29T11:17:32.723183+00:00 | TRADEWATCH | no open positions
2026-07-29T11:17:55.086903+00:00 | TRADEWATCH | no open positions
2026-07-29T11:18:25.670288+00:00 | TRADEWATCH | no open positions
2026-07-29T11:22:32.724619+00:00 | TRADEWATCH | no open positions
2026-07-29T11:22:55.087974+00:00 | TRADEWATCH | no open positions
2026-07-29T11:23:25.671355+00:00 | TRADEWATCH | no open positions
2026-07-29T11:27:32.725558+00:00 | TRADEWATCH | no open positions
2026-07-29T11:27:55.088896+00:00 | TRADEWATCH | no open positions
2026-07-29T11:28:25.672663+00:00 | TRADEWATCH | no open positions
2026-07-29T11:32:32.726657+00:00 | TRADEWATCH | no open positions
2026-07-29T11:32:55.089834+00:00 | TRADEWATCH | no open positions
2026-07-29T11:33:25.675389+00:00 | TRADEWATCH | no open positions
2026-07-29T11:37:32.727730+00:00 | TRADEWATCH | no open positions
2026-07-29T11:37:56.941158+00:00 | TRADEWATCH | no open positions
2026-07-29T11:38:25.676251+00:00 | TRADEWATCH | no open positions
2026-07-29T11:42:32.729050+00:00 | TRADEWATCH | no open positions
2026-07-29T11:42:57.675203+00:00 | TRADEWATCH | no open positions
2026-07-29T11:43:25.677162+00:00 | TRADEWATCH | no open positions
2026-07-29T11:47:32.730351+00:00 | TRADEWATCH | no open positions
2026-07-29T11:47:57.676047+00:00 | TRADEWATCH | no open positions
2026-07-29T11:48:25.678369+00:00 | TRADEWATCH | no open positions
2026-07-29T11:52:32.731610+00:00 | TRADEWATCH | no open positions
2026-07-29T11:52:57.677157+00:00 | TRADEWATCH | no open positions
2026-07-29T11:53:25.679500+00:00 | TRADEWATCH | no open positions
2026-07-29T11:57:32.732935+00:00 | TRADEWATCH | no open positions
2026-07-29T11:57:57.678535+00:00 | TRADEWATCH | no open positions
2026-07-29T11:58:25.680512+00:00 | TRADEWATCH | no open positions
2026-07-29T12:02:32.733908+00:00 | TRADEWATCH | no open positions
2026-07-29T12:02:57.679711+00:00 | TRADEWATCH | no open positions
2026-07-29T12:03:25.740511+00:00 | TRADEWATCH | no open positions
2026-07-29T12:07:32.725287+00:00 | TRADEWATCH | no open positions
2026-07-29T12:07:57.669699+00:00 | TRADEWATCH | no open positions
2026-07-29T12:08:25.730705+00:00 | TRADEWATCH | no open positions
2026-07-29T12:12:32.715370+00:00 | TRADEWATCH | no open positions
2026-07-29T12:12:57.659813+00:00 | TRADEWATCH | no open positions
2026-07-29T12:13:25.720695+00:00 | TRADEWATCH | no open positions
2026-07-29T12:17:32.705069+00:00 | TRADEWATCH | no open positions
2026-07-29T12:17:57.649705+00:00 | TRADEWATCH | no open positions
2026-07-29T12:18:25.710803+00:00 | TRADEWATCH | no open positions
2026-07-29T12:22:32.696854+00:00 | TRADEWATCH | no open positions
2026-07-29T12:22:57.641677+00:00 | TRADEWATCH | no open positions
2026-07-29T12:23:26.275494+00:00 | TRADEWATCH | no open positions
2026-07-29T12:27:32.690495+00:00 | TRADEWATCH | no open positions
2026-07-29T12:27:57.634605+00:00 | TRADEWATCH | no open positions
2026-07-29T12:28:26.268270+00:00 | TRADEWATCH | no open positions
2026-07-29T12:32:32.683413+00:00 | TRADEWATCH | no open positions
2026-07-29T12:32:57.627679+00:00 | TRADEWATCH | no open positions
2026-07-29T12:33:26.261581+00:00 | TRADEWATCH | no open positions
2026-07-29T12:37:32.676721+00:00 | TRADEWATCH | no open positions
2026-07-29T12:37:57.621386+00:00 | TRADEWATCH | no open positions
2026-07-29T12:38:26.255057+00:00 | TRADEWATCH | no open positions
2026-07-29T12:42:32.671886+00:00 | TRADEWATCH | no open positions
2026-07-29T12:42:57.616580+00:00 | TRADEWATCH | no open positions
2026-07-29T12:43:26.250460+00:00 | TRADEWATCH | no open positions
2026-07-29T12:47:32.667338+00:00 | TRADEWATCH | no open positions
2026-07-29T12:47:57.611999+00:00 | TRADEWATCH | no open positions
2026-07-29T12:48:26.245935+00:00 | TRADEWATCH | no open positions
2026-07-29T12:52:32.662663+00:00 | TRADEWATCH | no open positions
2026-07-29T12:52:57.607237+00:00 | TRADEWATCH | no open positions
2026-07-29T12:53:26.241172+00:00 | TRADEWATCH | no open positions
2026-07-29T12:57:32.658895+00:00 | TRADEWATCH | no open positions
2026-07-29T12:57:57.603444+00:00 | TRADEWATCH | no open positions
2026-07-29T12:58:26.237516+00:00 | TRADEWATCH | no open positions
2026-07-29T13:02:32.655776+00:00 | TRADEWATCH | no open positions
2026-07-29T13:02:57.599926+00:00 | TRADEWATCH | no open positions
2026-07-29T13:03:26.234558+00:00 | TRADEWATCH | no open positions
2026-07-29T13:07:32.680250+00:00 | TRADEWATCH | no open positions
2026-07-29T13:07:57.596820+00:00 | TRADEWATCH | no open positions
2026-07-29T13:08:26.231336+00:00 | TRADEWATCH | no open positions
2026-07-29T13:12:32.677779+00:00 | TRADEWATCH | no open positions
2026-07-29T13:12:57.593621+00:00 | TRADEWATCH | no open positions
2026-07-29T13:13:26.253673+00:00 | TRADEWATCH | no open positions
2026-07-29T13:17:32.676418+00:00 | TRADEWATCH | no open positions
2026-07-29T13:17:58.750534+00:00 | TRADEWATCH | no open positions
2026-07-29T13:18:26.251478+00:00 | TRADEWATCH | no open positions
2026-07-29T13:22:32.675012+00:00 | TRADEWATCH | no open positions
2026-07-29T13:22:58.749284+00:00 | TRADEWATCH | no open positions
2026-07-29T13:23:26.249679+00:00 | TRADEWATCH | no open positions
2026-07-29T13:27:32.672485+00:00 | TRADEWATCH | no open positions
2026-07-29T13:27:58.747121+00:00 | TRADEWATCH | no open positions
2026-07-29T13:28:26.247521+00:00 | TRADEWATCH | no open positions
2026-07-29T13:32:32.671044+00:00 | TRADEWATCH | no open positions
2026-07-29T13:32:58.745571+00:00 | TRADEWATCH | no open positions
2026-07-29T13:33:26.246036+00:00 | TRADEWATCH | no open positions
2026-07-29T13:37:32.669776+00:00 | TRADEWATCH | no open positions
2026-07-29T13:37:58.744504+00:00 | TRADEWATCH | no open positions
2026-07-29T13:38:26.244878+00:00 | TRADEWATCH | no open positions
2026-07-29T13:42:32.668314+00:00 | TRADEWATCH | no open positions
2026-07-29T13:42:58.743177+00:00 | TRADEWATCH | no open positions
2026-07-29T13:43:26.243189+00:00 | TRADEWATCH | no open positions
2026-07-29T13:47:32.667145+00:00 | TRADEWATCH | no open positions
2026-07-29T13:47:58.741983+00:00 | TRADEWATCH | no open positions
2026-07-29T13:48:26.241943+00:00 | TRADEWATCH | no open positions
2026-07-29T13:52:32.666783+00:00 | TRADEWATCH | no open positions
2026-07-29T13:52:59.093820+00:00 | TRADEWATCH | no open positions
2026-07-29T13:53:26.241615+00:00 | TRADEWATCH | no open positions
2026-07-29T13:57:32.665761+00:00 | TRADEWATCH | no open positions
2026-07-29T13:57:59.092892+00:00 | TRADEWATCH | no open positions
2026-07-29T13:58:26.240865+00:00 | TRADEWATCH | no open positions
2026-07-29T14:02:32.665260+00:00 | TRADEWATCH | no open positions
2026-07-29T14:02:59.092257+00:00 | TRADEWATCH | no open positions
2026-07-29T14:03:26.241054+00:00 | TRADEWATCH | no open positions
2026-07-29T14:07:32.664681+00:00 | TRADEWATCH | no open positions
2026-07-29T14:07:59.092262+00:00 | TRADEWATCH | no open positions
2026-07-29T14:08:26.240494+00:00 | TRADEWATCH | no open positions
2026-07-29T14:12:32.664346+00:00 | TRADEWATCH | no open positions
2026-07-29T14:12:59.091685+00:00 | TRADEWATCH | no open positions
2026-07-29T14:13:26.240173+00:00 | TRADEWATCH | no open positions
2026-07-29T14:17:32.663781+00:00 | TRADEWATCH | no open positions
2026-07-29T14:17:59.091287+00:00 | TRADEWATCH | no open positions
2026-07-29T14:18:26.239825+00:00 | TRADEWATCH | no open positions
2026-07-29T14:22:32.663916+00:00 | TRADEWATCH | no open positions
2026-07-29T14:22:59.091297+00:00 | TRADEWATCH | no open positions
2026-07-29T14:23:26.239463+00:00 | TRADEWATCH | no open positions
2026-07-29T14:27:32.663744+00:00 | TRADEWATCH | no open positions
2026-07-29T14:27:59.091022+00:00 | TRADEWATCH | no open positions
2026-07-29T14:28:26.239234+00:00 | TRADEWATCH | no open positions
2026-07-29T14:32:32.663705+00:00 | TRADEWATCH | no open positions
2026-07-29T14:32:59.090821+00:00 | TRADEWATCH | no open positions
2026-07-29T14:33:26.239228+00:00 | TRADEWATCH | no open positions
2026-07-29T14:37:32.663487+00:00 | TRADEWATCH | no open positions
2026-07-29T14:37:59.090633+00:00 | TRADEWATCH | no open positions
2026-07-29T14:38:26.239298+00:00 | TRADEWATCH | no open positions
2026-07-29T14:42:32.663462+00:00 | TRADEWATCH | no open positions
2026-07-29T14:42:59.090936+00:00 | TRADEWATCH | no open positions
2026-07-29T14:43:26.239330+00:00 | TRADEWATCH | no open positions
2026-07-29T14:47:32.665636+00:00 | TRADEWATCH | no open positions
2026-07-29T14:47:59.090873+00:00 | TRADEWATCH | no open positions
2026-07-29T14:48:26.239426+00:00 | TRADEWATCH | no open positions
2026-07-29T14:52:32.665574+00:00 | TRADEWATCH | no open positions
2026-07-29T14:52:59.090862+00:00 | TRADEWATCH | no open positions
2026-07-29T14:53:26.239676+00:00 | TRADEWATCH | no open positions
2026-07-29T14:57:32.665835+00:00 | TRADEWATCH | no open positions
2026-07-29T14:57:59.091200+00:00 | TRADEWATCH | no open positions
2026-07-29T14:58:26.240789+00:00 | TRADEWATCH | no open positions
2026-07-29T15:02:32.666029+00:00 | TRADEWATCH | no open positions
2026-07-29T15:02:59.091639+00:00 | TRADEWATCH | no open positions
2026-07-29T15:03:26.240912+00:00 | TRADEWATCH | no open positions
2026-07-29T15:07:32.666476+00:00 | TRADEWATCH | no open positions
2026-07-29T15:07:59.092202+00:00 | TRADEWATCH | no open positions
2026-07-29T15:08:26.240999+00:00 | TRADEWATCH | no open positions
2026-07-29T15:12:32.666723+00:00 | TRADEWATCH | no open positions
2026-07-29T15:12:59.092465+00:00 | TRADEWATCH | no open positions
2026-07-29T15:13:26.241226+00:00 | TRADEWATCH | no open positions
2026-07-29T15:17:32.996505+00:00 | TRADEWATCH | no open positions
2026-07-29T15:17:59.092792+00:00 | TRADEWATCH | no open positions
2026-07-29T15:18:26.261871+00:00 | TRADEWATCH | no open positions
2026-07-29T15:22:32.996970+00:00 | TRADEWATCH | no open positions
2026-07-29T15:22:59.093386+00:00 | TRADEWATCH | no open positions
2026-07-29T15:23:26.262638+00:00 | TRADEWATCH | no open positions
2026-07-29T15:27:33.029510+00:00 | TRADEWATCH | no open positions
2026-07-29T15:27:59.093904+00:00 | TRADEWATCH | no open positions
2026-07-29T15:28:26.262763+00:00 | TRADEWATCH | no open positions
2026-07-29T15:32:33.030308+00:00 | TRADEWATCH | no open positions
2026-07-29T15:32:59.094499+00:00 | TRADEWATCH | no open positions
2026-07-29T15:33:26.263329+00:00 | TRADEWATCH | no open positions
2026-07-29T15:37:33.031039+00:00 | TRADEWATCH | no open positions
2026-07-29T15:37:59.094883+00:00 | TRADEWATCH | no open positions
2026-07-29T15:38:26.264440+00:00 | TRADEWATCH | no open positions
2026-07-29T15:42:33.031552+00:00 | TRADEWATCH | no open positions
2026-07-29T15:42:59.095223+00:00 | TRADEWATCH | no open positions
2026-07-29T15:43:26.264859+00:00 | TRADEWATCH | no open positions
2026-07-29T15:47:33.032199+00:00 | TRADEWATCH | no open positions
2026-07-29T15:47:59.095628+00:00 | TRADEWATCH | no open positions
2026-07-29T15:48:26.265240+00:00 | TRADEWATCH | no open positions
2026-07-29T15:52:33.266151+00:00 | TRADEWATCH | no open positions
2026-07-29T15:52:59.096188+00:00 | TRADEWATCH | no open positions
2026-07-29T15:53:26.265832+00:00 | TRADEWATCH | no open positions
2026-07-29T15:57:33.266897+00:00 | TRADEWATCH | no open positions
2026-07-29T15:57:59.096642+00:00 | TRADEWATCH | no open positions
2026-07-29T15:58:26.266386+00:00 | TRADEWATCH | no open positions
2026-07-29T16:02:33.267720+00:00 | TRADEWATCH | no open positions
2026-07-29T16:02:59.097286+00:00 | TRADEWATCH | no open positions
2026-07-29T16:03:26.266915+00:00 | TRADEWATCH | no open positions
2026-07-29T16:07:33.268614+00:00 | TRADEWATCH | no open positions
2026-07-29T16:07:59.097591+00:00 | TRADEWATCH | no open positions
2026-07-29T16:08:26.267445+00:00 | TRADEWATCH | no open positions
2026-07-29T16:12:33.269185+00:00 | TRADEWATCH | no open positions
2026-07-29T16:12:59.098421+00:00 | TRADEWATCH | no open positions
2026-07-29T16:13:26.267876+00:00 | TRADEWATCH | no open positions
2026-07-29T16:17:33.269873+00:00 | TRADEWATCH | no open positions
2026-07-29T16:17:59.099294+00:00 | TRADEWATCH | no open positions
2026-07-29T16:18:26.268575+00:00 | TRADEWATCH | no open positions
2026-07-29T16:22:33.270756+00:00 | TRADEWATCH | no open positions
2026-07-29T16:22:59.100556+00:00 | TRADEWATCH | no open positions
2026-07-29T16:23:26.269309+00:00 | TRADEWATCH | no open positions
2026-07-29T16:27:33.793371+00:00 | TRADEWATCH | no open positions
2026-07-29T16:27:59.100595+00:00 | TRADEWATCH | no open positions
2026-07-29T16:28:26.269827+00:00 | TRADEWATCH | no open positions
2026-07-29T16:32:33.793874+00:00 | TRADEWATCH | no open positions
2026-07-29T16:32:59.100969+00:00 | TRADEWATCH | no open positions
2026-07-29T16:33:26.270620+00:00 | TRADEWATCH | no open positions
2026-07-29T16:37:33.792302+00:00 | TRADEWATCH | no open positions
2026-07-29T16:37:59.098645+00:00 | TRADEWATCH | no open positions
2026-07-29T16:38:26.267653+00:00 | TRADEWATCH | no open positions
2026-07-29T16:42:33.784435+00:00 | TRADEWATCH | no open positions
2026-07-29T16:42:59.090023+00:00 | TRADEWATCH | no open positions
2026-07-29T16:43:26.259650+00:00 | TRADEWATCH | no open positions
2026-07-29T16:47:33.776199+00:00 | TRADEWATCH | no open positions
2026-07-29T16:47:59.081746+00:00 | TRADEWATCH | no open positions
2026-07-29T16:48:26.251495+00:00 | TRADEWATCH | no open positions
2026-07-29T16:52:33.768784+00:00 | TRADEWATCH | no open positions
2026-07-29T16:52:59.074174+00:00 | TRADEWATCH | no open positions
2026-07-29T16:53:26.243871+00:00 | TRADEWATCH | no open positions
2026-07-29T16:57:33.762293+00:00 | TRADEWATCH | no open positions
2026-07-29T16:57:59.068176+00:00 | TRADEWATCH | no open positions
2026-07-29T16:58:26.238488+00:00 | TRADEWATCH | no open positions
2026-07-29T17:02:33.756768+00:00 | TRADEWATCH | no open positions
2026-07-29T17:02:59.062578+00:00 | TRADEWATCH | no open positions
2026-07-29T17:03:26.232625+00:00 | TRADEWATCH | no open positions
2026-07-29T17:07:33.751144+00:00 | TRADEWATCH | no open positions
2026-07-29T17:08:00.429090+00:00 | TRADEWATCH | no open positions
2026-07-29T17:08:26.226847+00:00 | TRADEWATCH | no open positions
2026-07-29T17:12:33.746411+00:00 | TRADEWATCH | no open positions
2026-07-29T17:13:00.424225+00:00 | TRADEWATCH | no open positions
2026-07-29T17:13:26.222241+00:00 | TRADEWATCH | no open positions
2026-07-29T17:17:33.742511+00:00 | TRADEWATCH | no open positions
2026-07-29T17:18:00.420331+00:00 | TRADEWATCH | no open positions
2026-07-29T17:18:26.217986+00:00 | TRADEWATCH | no open positions
2026-07-29T17:22:33.738588+00:00 | TRADEWATCH | no open positions
2026-07-29T17:23:00.416384+00:00 | TRADEWATCH | no open positions
2026-07-29T17:23:26.214122+00:00 | TRADEWATCH | no open positions
2026-07-29T17:27:33.734821+00:00 | TRADEWATCH | no open positions
2026-07-29T17:28:00.412486+00:00 | TRADEWATCH | no open positions
2026-07-29T17:28:26.210471+00:00 | TRADEWATCH | no open positions
2026-07-29T17:32:33.731832+00:00 | TRADEWATCH | no open positions
2026-07-29T17:33:00.410064+00:00 | TRADEWATCH | no open positions
2026-07-29T17:33:26.207861+00:00 | TRADEWATCH | no open positions
2026-07-29T17:37:33.728994+00:00 | TRADEWATCH | no open positions
2026-07-29T17:38:00.407436+00:00 | TRADEWATCH | no open positions
2026-07-29T17:38:26.205082+00:00 | TRADEWATCH | no open positions
2026-07-29T17:42:33.726260+00:00 | TRADEWATCH | no open positions
2026-07-29T17:43:00.404451+00:00 | TRADEWATCH | no open positions
2026-07-29T17:43:26.202432+00:00 | TRADEWATCH | no open positions
2026-07-29T17:47:33.724272+00:00 | TRADEWATCH | no open positions
2026-07-29T17:48:00.402132+00:00 | TRADEWATCH | no open positions
2026-07-29T17:48:26.200794+00:00 | TRADEWATCH | no open positions
2026-07-29T17:52:33.722682+00:00 | TRADEWATCH | no open positions
2026-07-29T17:53:00.549065+00:00 | TRADEWATCH | no open positions
2026-07-29T17:53:26.198534+00:00 | TRADEWATCH | no open positions
2026-07-29T17:57:34.997000+00:00 | TRADEWATCH | no open positions
2026-07-29T17:58:00.547530+00:00 | TRADEWATCH | no open positions
2026-07-29T17:58:26.196599+00:00 | TRADEWATCH | no open positions
2026-07-29T18:02:34.995139+00:00 | TRADEWATCH | no open positions
2026-07-29T18:03:00.546156+00:00 | TRADEWATCH | no open positions
2026-07-29T18:03:26.195094+00:00 | TRADEWATCH | no open positions
2026-07-29T18:07:34.994165+00:00 | TRADEWATCH | no open positions
2026-07-29T18:08:00.545086+00:00 | TRADEWATCH | no open positions
2026-07-29T18:08:26.194410+00:00 | TRADEWATCH | no open positions
2026-07-29T18:12:34.994622+00:00 | TRADEWATCH | no open positions
2026-07-29T18:13:00.543740+00:00 | TRADEWATCH | no open positions
2026-07-29T18:13:26.193943+00:00 | TRADEWATCH | no open positions
2026-07-29T18:17:35.417312+00:00 | TRADEWATCH | no open positions
2026-07-29T18:18:00.542372+00:00 | TRADEWATCH | no open positions
2026-07-29T18:18:26.192880+00:00 | TRADEWATCH | no open positions
2026-07-29T18:22:35.416097+00:00 | TRADEWATCH | no open positions
2026-07-29T18:23:00.541292+00:00 | TRADEWATCH | no open positions
2026-07-29T18:23:26.191691+00:00 | TRADEWATCH | no open positions
2026-07-29T18:27:35.414998+00:00 | TRADEWATCH | no open positions
2026-07-29T18:28:00.540591+00:00 | TRADEWATCH | no open positions
2026-07-29T18:28:26.190713+00:00 | TRADEWATCH | no open positions
2026-07-29T18:32:35.414257+00:00 | TRADEWATCH | no open positions
2026-07-29T18:33:00.882452+00:00 | TRADEWATCH | no open positions
2026-07-29T18:33:26.189905+00:00 | TRADEWATCH | no open positions
2026-07-29T18:37:35.413466+00:00 | TRADEWATCH | no open positions
2026-07-29T18:38:00.882809+00:00 | TRADEWATCH | no open positions
2026-07-29T18:38:26.189185+00:00 | TRADEWATCH | no open positions
2026-07-29T18:42:35.413174+00:00 | TRADEWATCH | no open positions
2026-07-29T18:43:00.883544+00:00 | TRADEWATCH | no open positions
2026-07-29T18:43:26.190762+00:00 | TRADEWATCH | no open positions
2026-07-29T18:47:35.412485+00:00 | TRADEWATCH | no open positions
2026-07-29T18:48:00.883102+00:00 | TRADEWATCH | no open positions
2026-07-29T18:48:26.190335+00:00 | TRADEWATCH | no open positions
2026-07-29T18:52:35.411955+00:00 | TRADEWATCH | no open positions
2026-07-29T18:53:00.882667+00:00 | TRADEWATCH | no open positions
2026-07-29T18:53:26.190042+00:00 | TRADEWATCH | no open positions
2026-07-29T18:57:35.411459+00:00 | TRADEWATCH | no open positions
2026-07-29T18:58:00.882105+00:00 | TRADEWATCH | no open positions
2026-07-29T18:58:26.189770+00:00 | TRADEWATCH | no open positions
2026-07-29T19:02:35.411183+00:00 | TRADEWATCH | no open positions
2026-07-29T19:03:00.882045+00:00 | TRADEWATCH | no open positions
2026-07-29T19:03:26.189403+00:00 | TRADEWATCH | no open positions
2026-07-29T19:07:35.410809+00:00 | TRADEWATCH | no open positions
2026-07-29T19:08:00.882036+00:00 | TRADEWATCH | no open positions
2026-07-29T19:08:26.189096+00:00 | TRADEWATCH | no open positions
2026-07-29T19:12:35.410810+00:00 | TRADEWATCH | no open positions
2026-07-29T19:13:00.881737+00:00 | TRADEWATCH | no open positions
2026-07-29T19:13:26.188695+00:00 | TRADEWATCH | no open positions
2026-07-29T19:17:35.410624+00:00 | TRADEWATCH | no open positions
2026-07-29T19:18:00.881445+00:00 | TRADEWATCH | no open positions
2026-07-29T19:18:26.188703+00:00 | TRADEWATCH | no open positions
2026-07-29T19:22:35.526887+00:00 | TRADEWATCH | no open positions
2026-07-29T19:23:00.881247+00:00 | TRADEWATCH | no open positions
2026-07-29T19:23:26.188462+00:00 | TRADEWATCH | no open positions
2026-07-29T19:27:35.527077+00:00 | TRADEWATCH | no open positions
2026-07-29T19:28:00.880959+00:00 | TRADEWATCH | no open positions
2026-07-29T19:28:26.188593+00:00 | TRADEWATCH | no open positions
2026-07-29T19:32:35.526925+00:00 | TRADEWATCH | no open positions
2026-07-29T19:33:00.880742+00:00 | TRADEWATCH | no open positions
2026-07-29T19:33:26.188542+00:00 | TRADEWATCH | no open positions
2026-07-29T19:37:35.526648+00:00 | TRADEWATCH | no open positions
2026-07-29T19:38:00.880720+00:00 | TRADEWATCH | no open positions
2026-07-29T19:38:26.188516+00:00 | TRADEWATCH | no open positions
2026-07-29T19:42:35.526512+00:00 | TRADEWATCH | no open positions
2026-07-29T19:43:01.101749+00:00 | TRADEWATCH | no open positions
2026-07-29T19:43:26.188768+00:00 | TRADEWATCH | no open positions
2026-07-29T19:47:35.526336+00:00 | TRADEWATCH | no open positions
2026-07-29T19:48:01.101332+00:00 | TRADEWATCH | no open positions
2026-07-29T19:48:26.189122+00:00 | TRADEWATCH | no open positions
2026-07-29T19:52:35.526650+00:00 | TRADEWATCH | no open positions
2026-07-29T19:53:01.101471+00:00 | TRADEWATCH | no open positions
2026-07-29T19:53:26.189311+00:00 | TRADEWATCH | no open positions
2026-07-29T19:57:35.526473+00:00 | TRADEWATCH | no open positions
2026-07-29T19:58:01.101300+00:00 | TRADEWATCH | no open positions
2026-07-29T19:58:26.189109+00:00 | TRADEWATCH | no open positions
2026-07-29T20:02:35.526718+00:00 | TRADEWATCH | no open positions
2026-07-29T20:03:01.101491+00:00 | TRADEWATCH | no open positions
2026-07-29T20:03:26.188914+00:00 | TRADEWATCH | no open positions
2026-07-29T20:07:35.527173+00:00 | TRADEWATCH | no open positions
2026-07-29T20:08:01.101830+00:00 | TRADEWATCH | no open positions
2026-07-29T20:08:26.255079+00:00 | TRADEWATCH | no open positions
2026-07-29T20:12:35.526666+00:00 | TRADEWATCH | no open positions
2026-07-29T20:13:01.101901+00:00 | TRADEWATCH | no open positions
2026-07-29T20:13:26.255180+00:00 | TRADEWATCH | no open positions
2026-07-29T20:17:35.526453+00:00 | TRADEWATCH | no open positions
2026-07-29T20:18:02.125008+00:00 | TRADEWATCH | no open positions
2026-07-29T20:18:26.255814+00:00 | TRADEWATCH | no open positions
2026-07-29T20:22:35.526678+00:00 | TRADEWATCH | no open positions
2026-07-29T20:23:02.125221+00:00 | TRADEWATCH | no open positions
2026-07-29T20:23:26.265444+00:00 | TRADEWATCH | no open positions
